char	sim-char	freq	tag
丢	丟	4	
丩	𠂈	3	
丿	㇒	75	
乂	㐅	31	
争	爭	45	
二	𠄠	6	
亏	亐	29	
亦	𰁜	12	
人	𠆢	106	
俞	兪	28	
充	𠘺	4	
兑	兌	43	
兹	茲	24	
内	內	71	
冈	罓	14	
册	冊	3	
几	𠘧	5	
几	𠘨	14	
凢	凣	6	
凷	𠙽	4	
刃	刄	7	
别	別	22	
剥	剝	2	
匀	勻	34	
匚	匸	28	
卉	𠦄	3	
单	単	4	
卥	𠧧	3	*
卧	臥	12	
卩	𰆊	4	*
即	卽	6	
卻	郤	1	
厂	𠂆	4	*
叉	㕚	4	*
収	𠬞	4	
口	囗	5	*
吉	𠮷	5	
吕	呂	46	
吞	呑	20	
吴	吳	6	
告	吿	38	
四	罒	4	
囱	囪	5
壬	𡈼	18	
夂	夊	63	
夂	攵	12	
夊	攵	5	
夐	敻	9	
奂	奐	11	
奥	奧	30	
宫	宮	14	
小	𡭔	37	
尔	尓	39	
尚	尙	29	
尚	𫩠	8	
屏	屛	3	
屮	䶹	30	
市	巿	18	*
并	幷	53	
廉	亷	2	
开	幵	34	
强	強	15	
彐	𫜹	35	
录	彔	54	
彦	彥	29	
恒	恆	1	
悦	悅	1	
戋	㦮	8	
戬	戩	1	
戯	戱	5	
户	戶	100	
抛	拋	3	
攴	攵	10	
教	敎	2	
既	旣	4	
昷	𥁕	26	
晋	晉	17	
月	⺼	811	
木	朩	56	
本	夲	2	
术	朮	15	
朵	朶	5	
查	査	9	
步	歩	6	
毁	毀	9	
毋	毌	1	
每	毎	10	
水	氺	5	
污	汚	3	
没	沒	2	
清	淸	1	
渌	淥	1	
熙	煕	1	
爪	爫	4	*
爲	為	50	*
牛	牜	335	
王	𤣩	1028	
瑶	瑤	1	
産	產	18	
瘦	痩	1	*
盗	盜	3	*
眔	𥄳	5	*
真	眞	37	
示	礻	444	
禄	祿	3	
禿	秃	6	
税	稅	1	
穴	宂	337	
竹	𥫗	1234	
粤	粵	7	
糸	糹	1092	
絶	絕	11	
綠	緑	4	
羊	𦍌	4	*
羋	芈	2	
羡	羨	6	
羲	𦏁	4	
耴	𦔮	21	
肙	䏍	5	*
胄	冑	1	
脱	脫	4	
臼	𦥑	18	
舀	𦥝	6	
舄	舃	3	*
萑	雈	7	
蒍	蔿	3	*
蒙	𫎇	5	
虚	虛	32	
衛	衞	3	
衮	袞	9	
襾	覀	13	
西	覀	8	
言	訁	961	
賣	𧶠	25	
逹	達	4	
遥	遙	2	
郎	郞	8	
采	釆	3	
金	釒	1425	
長	镸	5	
青	靑	87	
頽	頹	5	
顚	顛	3	
食	飠	6	
飠	𩙿	269	
高	髙	6	
黄	黃	109	
黑	黒	6	
龹	𠔉	34	
